Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Fluorescent Tape For night Marking Of Emergency Ways Lifebuoys,Fluorescent Tape For night Marking Of Emergency Ways Lifebuoys,5,No,Anil_M,30
2,Paint Brush three inch,Paint Brush three inch,5,No,Anil_M,30
3,Paint Brush half inch thirteen mm,Paint Brush half inch thirteen mm,6,No,Anil_M,30
4,Paint brush one inch,Paint brush one inch,10,No,Anil_M,30
5,Fevicol Movicol,Fevicol Movicol,5,Kg,Anil_M,30
6,Hacksaw blade twelve inch,Hacksaw blade twelve inch,2,No,Anil_M,30
7,Gloves Leather A Mat Leather,Gloves Leather A Mat Leather,5,Prs,Anil_M,30
8,Funnel five inch,Funnel five inch,3,No,Anil_M,30
9,Detergent Solution,Detergent Solution,20,Ltr,Anil_M,30
10,Cloth Terry Flex Cotton thirty six inch width,Cloth Terry Flex Cotton thirty six inch width,8,Mtrs,Anil_M,30
11,Rubber Latex Long Gloves,Rubber Latex Long Gloves,3,Prs,Anil_M,30
12,Polyvinyl Acetate Dipresion Based Adhesive  IS four eight three five,Polyvinyl Acetate Dipresion Based Adhesive  IS four eight three five,2,No,Anil_M,30
13,Petroleum Jelly,Petroleum Jelly,1,Kg,Anil_M,30
14,Rope Polypropylene eight mm,Rope Polypropylene eight mm,220,Mtr,Anil_M,30
15,Rope Polypropylene six mm ISI Mark,Rope Polypropylene six mm ISI Mark,220,Mtr,Anil_M,30
16,Rope Polypropylene twelve mm,Rope Polypropylene twelve mm,220,Mtr,Anil_M,30
17,Rope Polypropylene ten mm,Rope Polypropylene ten mm,220,Mtr,Anil_M,30
18,Bag Biodegradable Small fourteen x sixteen inch,Bag Biodegradable Small fourteen x sixteen inch,25,No,Anil_M,30
19,Bag Biodegradable medium fourteen x eighteen inch,Bag Biodegradable medium fourteen x eighteen inch,50,No,Anil_M,30
20,Bag Biodegradable  Big fourteen x twenty inch,Bag Biodegradable  Big fourteen x twenty inch,25,No,Anil_M,30
21,Sand Paper,Sand Paper,4,No,Anil_M,30
22,Wind Socks,Wind Socks,2,No,Anil_M,30
23,White Spirit,White Spirit,1,Ltr,Anil_M,30
24,Twine sewing medium flax,Twine sewing medium flax,1,Kg,Anil_M,30
25,Twine Sewing Fine,Twine Sewing Fine,2,Kg,Anil_M,30
26,Teflone Thread Seal Tape Roll  twelve  Mtr zero dot one mm x one dot two five cm,Teflone Thread Seal Tape Roll  twelve  Mtr zero dot one mm x one dot two five cm,2,Nos,Anil_M,30
27,Tape Transparent thirty eight mm,Tape Transparent thirty eight mm,10,roll,Anil_M,30
28,Solder lead 500 mg,Solder lead,500,mg,Anil_M,30
29,Emery Cloth Abrasive elevenxnine inch  IS Grit thirty six two seven nine mm,Emery Cloth Abrasive elevenxnine inch  IS Grit thirty six two seven nine mm,5,No,Anil_M,30
30,Soap hard yellow,Soap hard yellow,10,No,Anil_M,30
31,Cable Tie  ten mm,Cable Tie  ten mm,25,No,Anil_M,30
32,Call Boatswains,Call Boatswains,2,No,Anil_M,30
33,Face Mask,Face Mask,5,No,Anil_M,30
34,Fluorescent tape yellow four inch,Fluorescent tape yellow four inch,30,No,Anil_M,30
35,Ear  plugs,Ear  plugs,25,No,Anil_M,30
36,Desoldering Wire,Desoldering Wire,5,rolls,Anil_M,30
37,Soldering Flux,Soldering Flux,5,rolls,Anil_M,30
38,Heat Shrink Sleeve,Heat Shrink Sleeve,5,mtr,Anil_M,30
39,Cable Casing,Cable Casing,10,feet,Anil_M,30
40,Wire Connection Lugs,Wire Connection Lugs,25,No,Anil_M,30
41,Wiper Soft Rubber,Wiper Soft Rubber,2,No,Anil_M,30
42,Cable  two core sixA,Cable  two core sixA,60,mtrs,Anil_M,30
43,Clip jubilee two dot two dot seven five zero,Clip jubilee two dot two dot seven five zero,10,No,Anil_M,30
44,Clip jubilee one half inch,Clip jubilee one half inch,10,No,Anil_M,30
45,Clip jubilee zero dot  six five zero dot eight seven five,Clip jubilee zero dot  six five zero dot eight seven five,5,No,Anil_M,30
46,Boric Powder,Boric Powder,2,kg,Anil_M,30
47,Battery connection Lugs,Battery connection Lugs,8,No,Anil_M,30
48,Instant Glue,Instant Glue,2,No,Anil_M,30
49,Tray Paint Roller,Tray Paint Roller,4,No,Anil_M,30
50,Measuring Tape fifteen Mtr,Measuring Tape fifteen Mtr,4,No,Anil_M,30
51,Goggles Safety,Goggles Safety,3,No,Anil_M,30
52,Chain Silver For Call Boatswain,Chain Silver For Call Boatswain,2,No,Anil_M,30
53,Bucket Plastic twenty Ltr,Bucket Plastic twenty Ltr,5,No,Anil_M,30
54,Turpentine Oil solvent,Turpentine Oil solvent,20,ltr,Anil_M,30
55,Silicon sealant compound three hundred ml Tube,Silicon sealant compound three hundred ml Tube,2,No,Anil_M,30
56,Silicon carbide water proof six hundred A Emery paper,Silicon carbide water proof six hundred A Emery paper,1,Sht,Anil_M,30
57,Heat resistant gloves for galley,Heat resistant gloves for galley,1,Prs,Anil_M,30
58,Grease LG two hundred,Grease LG two hundred,15,kg,Anil_M,30
59,Dust Pans,Dust Pans,5,Nos,Anil_M,30
60,Dry chemical Powder,Dry chemical Powder,5,Kg,Anil_M,30
61,Clip jubilee four inch,Clip jubilee four inch,10,No,Anil_M,30
62,Clip Jubilee three dot five to four by eight x seven by eight inch,Clip Jubilee three dot five to four by eight x seven by eight inch,10,No,Anil_M,30
63,Clip jubilee three dot five to four one by eight inch,Clip jubilee three dot five to four one by eight inch,15,No,Anil_M,30
64,Bucket Plastic fifteen Ltr,Bucket Plastic fifteen Ltr,5,No,Anil_M,30
65,Super mop with handle VIP type,Super mop with handle VIP type,10,No,Anil_M,30
